lookup_key,product_kind,product,vulnerable_version,vulnerable_vnum,fix_version,fix_vnum,advisory_id,cve_id,severity,title,affected_raw,published,last_update,url
enterprise:9.4.7,enterprise,Splunk Enterprise,9.4.7,9004007000,9.4.14,9004014000,SVD-2026-0802,Multiple (33) CVE-2026-25679 CVE-2026-27140 CVE-2026-27143 CVE-2026-27144 CVE-2026-32280 CVE-2026-32281 CVE-2026-32283 CVE-2026-33810 CVE-2026-34986 CVE-2026-29181 CVE-2026-39883 CVE-2026-33186 CVE-2026-7168 CVE-2026-6429 CVE-2026-6276 CVE-2025-14819 CVE-2025-14017 CVE-2026-45409 CVE-2026-6472 CVE-2026-6473 CVE-2026-6474 CVE-2026-6475 CVE-2026-6477 CVE-2026-6478 CVE-2026-6479 CVE-2026-6638 CVE-2026-6637 CVE-2026-45447 CVE-2026-7383 CVE-2026-9076 CVE-2026-34180 CVE-2026-42766 CVE-2024-35255,Critical,SVD-2026-0802 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.13,2026-08-19,2026-08-19,https://advisory.splunk.com/advisories/SVD-2026-0802
enterprise:9.4.8,enterprise,Splunk Enterprise,9.4.8,9004008000,9.4.14,9004014000,SVD-2026-0802,Multiple (33) CVE-2026-25679 CVE-2026-27140 CVE-2026-27143 CVE-2026-27144 CVE-2026-32280 CVE-2026-32281 CVE-2026-32283 CVE-2026-33810 CVE-2026-34986 CVE-2026-29181 CVE-2026-39883 CVE-2026-33186 CVE-2026-7168 CVE-2026-6429 CVE-2026-6276 CVE-2025-14819 CVE-2025-14017 CVE-2026-45409 CVE-2026-6472 CVE-2026-6473 CVE-2026-6474 CVE-2026-6475 CVE-2026-6477 CVE-2026-6478 CVE-2026-6479 CVE-2026-6638 CVE-2026-6637 CVE-2026-45447 CVE-2026-7383 CVE-2026-9076 CVE-2026-34180 CVE-2026-42766 CVE-2024-35255,Critical,SVD-2026-0802 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.13,2026-08-19,2026-08-19,https://advisory.splunk.com/advisories/SVD-2026-0802
enterprise:9.4.9,enterprise,Splunk Enterprise,9.4.9,9004009000,9.4.14,9004014000,SVD-2026-0802,Multiple (33) CVE-2026-25679 CVE-2026-27140 CVE-2026-27143 CVE-2026-27144 CVE-2026-32280 CVE-2026-32281 CVE-2026-32283 CVE-2026-33810 CVE-2026-34986 CVE-2026-29181 CVE-2026-39883 CVE-2026-33186 CVE-2026-7168 CVE-2026-6429 CVE-2026-6276 CVE-2025-14819 CVE-2025-14017 CVE-2026-45409 CVE-2026-6472 CVE-2026-6473 CVE-2026-6474 CVE-2026-6475 CVE-2026-6477 CVE-2026-6478 CVE-2026-6479 CVE-2026-6638 CVE-2026-6637 CVE-2026-45447 CVE-2026-7383 CVE-2026-9076 CVE-2026-34180 CVE-2026-42766 CVE-2024-35255,Critical,SVD-2026-0802 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.13,2026-08-19,2026-08-19,https://advisory.splunk.com/advisories/SVD-2026-0802
enterprise:9.4.10,enterprise,Splunk Enterprise,9.4.10,9004010000,9.4.14,9004014000,SVD-2026-0802,Multiple (33) CVE-2026-25679 CVE-2026-27140 CVE-2026-27143 CVE-2026-27144 CVE-2026-32280 CVE-2026-32281 CVE-2026-32283 CVE-2026-33810 CVE-2026-34986 CVE-2026-29181 CVE-2026-39883 CVE-2026-33186 CVE-2026-7168 CVE-2026-6429 CVE-2026-6276 CVE-2025-14819 CVE-2025-14017 CVE-2026-45409 CVE-2026-6472 CVE-2026-6473 CVE-2026-6474 CVE-2026-6475 CVE-2026-6477 CVE-2026-6478 CVE-2026-6479 CVE-2026-6638 CVE-2026-6637 CVE-2026-45447 CVE-2026-7383 CVE-2026-9076 CVE-2026-34180 CVE-2026-42766 CVE-2024-35255,Critical,SVD-2026-0802 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.13,2026-08-19,2026-08-19,https://advisory.splunk.com/advisories/SVD-2026-0802
enterprise:9.4.11,enterprise,Splunk Enterprise,9.4.11,9004011000,9.4.14,9004014000,SVD-2026-0802,Multiple (33) CVE-2026-25679 CVE-2026-27140 CVE-2026-27143 CVE-2026-27144 CVE-2026-32280 CVE-2026-32281 CVE-2026-32283 CVE-2026-33810 CVE-2026-34986 CVE-2026-29181 CVE-2026-39883 CVE-2026-33186 CVE-2026-7168 CVE-2026-6429 CVE-2026-6276 CVE-2025-14819 CVE-2025-14017 CVE-2026-45409 CVE-2026-6472 CVE-2026-6473 CVE-2026-6474 CVE-2026-6475 CVE-2026-6477 CVE-2026-6478 CVE-2026-6479 CVE-2026-6638 CVE-2026-6637 CVE-2026-45447 CVE-2026-7383 CVE-2026-9076 CVE-2026-34180 CVE-2026-42766 CVE-2024-35255,Critical,SVD-2026-0802 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.13,2026-08-19,2026-08-19,https://advisory.splunk.com/advisories/SVD-2026-0802
enterprise:9.4.12,enterprise,Splunk Enterprise,9.4.12,9004012000,9.4.14,9004014000,SVD-2026-0802,Multiple (33) CVE-2026-25679 CVE-2026-27140 CVE-2026-27143 CVE-2026-27144 CVE-2026-32280 CVE-2026-32281 CVE-2026-32283 CVE-2026-33810 CVE-2026-34986 CVE-2026-29181 CVE-2026-39883 CVE-2026-33186 CVE-2026-7168 CVE-2026-6429 CVE-2026-6276 CVE-2025-14819 CVE-2025-14017 CVE-2026-45409 CVE-2026-6472 CVE-2026-6473 CVE-2026-6474 CVE-2026-6475 CVE-2026-6477 CVE-2026-6478 CVE-2026-6479 CVE-2026-6638 CVE-2026-6637 CVE-2026-45447 CVE-2026-7383 CVE-2026-9076 CVE-2026-34180 CVE-2026-42766 CVE-2024-35255,Critical,SVD-2026-0802 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.13,2026-08-19,2026-08-19,https://advisory.splunk.com/advisories/SVD-2026-0802
enterprise:9.4.13,enterprise,Splunk Enterprise,9.4.13,9004013000,9.4.14,9004014000,SVD-2026-0802,Multiple (33) CVE-2026-25679 CVE-2026-27140 CVE-2026-27143 CVE-2026-27144 CVE-2026-32280 CVE-2026-32281 CVE-2026-32283 CVE-2026-33810 CVE-2026-34986 CVE-2026-29181 CVE-2026-39883 CVE-2026-33186 CVE-2026-7168 CVE-2026-6429 CVE-2026-6276 CVE-2025-14819 CVE-2025-14017 CVE-2026-45409 CVE-2026-6472 CVE-2026-6473 CVE-2026-6474 CVE-2026-6475 CVE-2026-6477 CVE-2026-6478 CVE-2026-6479 CVE-2026-6638 CVE-2026-6637 CVE-2026-45447 CVE-2026-7383 CVE-2026-9076 CVE-2026-34180 CVE-2026-42766 CVE-2024-35255,Critical,SVD-2026-0802 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.13,2026-08-19,2026-08-19,https://advisory.splunk.com/advisories/SVD-2026-0802
enterprise:10.4.0,enterprise,Splunk Enterprise,10.4.0,10004000000,10.4.2,10004002000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,10.4.0 to 10.4.1,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:10.4.1,enterprise,Splunk Enterprise,10.4.1,10004001000,10.4.2,10004002000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,10.4.0 to 10.4.1,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:10.2.0,enterprise,Splunk Enterprise,10.2.0,10002000000,10.2.6,10002006000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,10.2.0 to 10.2.5,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:10.2.1,enterprise,Splunk Enterprise,10.2.1,10002001000,10.2.6,10002006000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,10.2.0 to 10.2.5,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:10.2.2,enterprise,Splunk Enterprise,10.2.2,10002002000,10.2.6,10002006000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,10.2.0 to 10.2.5,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:10.2.3,enterprise,Splunk Enterprise,10.2.3,10002003000,10.2.6,10002006000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,10.2.0 to 10.2.5,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:10.2.4,enterprise,Splunk Enterprise,10.2.4,10002004000,10.2.6,10002006000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,10.2.0 to 10.2.5,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:10.2.5,enterprise,Splunk Enterprise,10.2.5,10002005000,10.2.6,10002006000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,10.2.0 to 10.2.5,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:10.0.0,enterprise,Splunk Enterprise,10.0.0,10000000000,10.0.9,10000009000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,10.0.0 to 10.0.8,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:10.0.1,enterprise,Splunk Enterprise,10.0.1,10000001000,10.0.9,10000009000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,10.0.0 to 10.0.8,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:10.0.2,enterprise,Splunk Enterprise,10.0.2,10000002000,10.0.9,10000009000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,10.0.0 to 10.0.8,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:10.0.3,enterprise,Splunk Enterprise,10.0.3,10000003000,10.0.9,10000009000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,10.0.0 to 10.0.8,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:10.0.4,enterprise,Splunk Enterprise,10.0.4,10000004000,10.0.9,10000009000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,10.0.0 to 10.0.8,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:10.0.5,enterprise,Splunk Enterprise,10.0.5,10000005000,10.0.9,10000009000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,10.0.0 to 10.0.8,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:10.0.6,enterprise,Splunk Enterprise,10.0.6,10000006000,10.0.9,10000009000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,10.0.0 to 10.0.8,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:10.0.7,enterprise,Splunk Enterprise,10.0.7,10000007000,10.0.9,10000009000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,10.0.0 to 10.0.8,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:10.0.8,enterprise,Splunk Enterprise,10.0.8,10000008000,10.0.9,10000009000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,10.0.0 to 10.0.8,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:9.4.0,enterprise,Splunk Enterprise,9.4.0,9004000000,9.4.14,9004014000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.13,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:9.4.1,enterprise,Splunk Enterprise,9.4.1,9004001000,9.4.14,9004014000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.13,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:9.4.2,enterprise,Splunk Enterprise,9.4.2,9004002000,9.4.14,9004014000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.13,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:9.4.3,enterprise,Splunk Enterprise,9.4.3,9004003000,9.4.14,9004014000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.13,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:9.4.4,enterprise,Splunk Enterprise,9.4.4,9004004000,9.4.14,9004014000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.13,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:9.4.5,enterprise,Splunk Enterprise,9.4.5,9004005000,9.4.14,9004014000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.13,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:9.4.6,enterprise,Splunk Enterprise,9.4.6,9004006000,9.4.14,9004014000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.13,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:9.4.7,enterprise,Splunk Enterprise,9.4.7,9004007000,9.4.14,9004014000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.13,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:9.4.8,enterprise,Splunk Enterprise,9.4.8,9004008000,9.4.14,9004014000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.13,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:9.4.9,enterprise,Splunk Enterprise,9.4.9,9004009000,9.4.14,9004014000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.13,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:9.4.10,enterprise,Splunk Enterprise,9.4.10,9004010000,9.4.14,9004014000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.13,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:9.4.11,enterprise,Splunk Enterprise,9.4.11,9004011000,9.4.14,9004014000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.13,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:9.4.12,enterprise,Splunk Enterprise,9.4.12,9004012000,9.4.14,9004014000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.13,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
enterprise:9.4.13,enterprise,Splunk Enterprise,9.4.13,9004013000,9.4.14,9004014000,SVD-2026-0801,,Critical,SVD-2026-0801 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.13,2026-08-19,,https://advisory.splunk.com/advisories/SVD-2026-0801
forwarder:10.4.0,forwarder,Splunk Universal Forwarder,10.4.0,10004000000,10.4.1,10004001000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,Below 10.4.1,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:10.2.0,forwarder,Splunk Universal Forwarder,10.2.0,10002000000,10.2.5,10002005000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,10.2.0 to 10.2.4,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:10.2.1,forwarder,Splunk Universal Forwarder,10.2.1,10002001000,10.2.5,10002005000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,10.2.0 to 10.2.4,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:10.2.2,forwarder,Splunk Universal Forwarder,10.2.2,10002002000,10.2.5,10002005000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,10.2.0 to 10.2.4,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:10.2.3,forwarder,Splunk Universal Forwarder,10.2.3,10002003000,10.2.5,10002005000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,10.2.0 to 10.2.4,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:10.2.4,forwarder,Splunk Universal Forwarder,10.2.4,10002004000,10.2.5,10002005000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,10.2.0 to 10.2.4,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:10.0.0,forwarder,Splunk Universal Forwarder,10.0.0,10000000000,10.0.8,10000008000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,10.0.0 to 10.0.7,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:10.0.1,forwarder,Splunk Universal Forwarder,10.0.1,10000001000,10.0.8,10000008000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,10.0.0 to 10.0.7,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:10.0.2,forwarder,Splunk Universal Forwarder,10.0.2,10000002000,10.0.8,10000008000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,10.0.0 to 10.0.7,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:10.0.3,forwarder,Splunk Universal Forwarder,10.0.3,10000003000,10.0.8,10000008000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,10.0.0 to 10.0.7,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:10.0.4,forwarder,Splunk Universal Forwarder,10.0.4,10000004000,10.0.8,10000008000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,10.0.0 to 10.0.7,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:10.0.5,forwarder,Splunk Universal Forwarder,10.0.5,10000005000,10.0.8,10000008000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,10.0.0 to 10.0.7,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:10.0.6,forwarder,Splunk Universal Forwarder,10.0.6,10000006000,10.0.8,10000008000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,10.0.0 to 10.0.7,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:10.0.7,forwarder,Splunk Universal Forwarder,10.0.7,10000007000,10.0.8,10000008000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,10.0.0 to 10.0.7,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:9.4.0,forwarder,Splunk Universal Forwarder,9.4.0,9004000000,9.4.13,9004013000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.12,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:9.4.1,forwarder,Splunk Universal Forwarder,9.4.1,9004001000,9.4.13,9004013000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.12,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:9.4.2,forwarder,Splunk Universal Forwarder,9.4.2,9004002000,9.4.13,9004013000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.12,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:9.4.3,forwarder,Splunk Universal Forwarder,9.4.3,9004003000,9.4.13,9004013000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.12,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:9.4.4,forwarder,Splunk Universal Forwarder,9.4.4,9004004000,9.4.13,9004013000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.12,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:9.4.5,forwarder,Splunk Universal Forwarder,9.4.5,9004005000,9.4.13,9004013000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.12,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:9.4.6,forwarder,Splunk Universal Forwarder,9.4.6,9004006000,9.4.13,9004013000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.12,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:9.4.7,forwarder,Splunk Universal Forwarder,9.4.7,9004007000,9.4.13,9004013000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.12,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:9.4.8,forwarder,Splunk Universal Forwarder,9.4.8,9004008000,9.4.13,9004013000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.12,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:9.4.9,forwarder,Splunk Universal Forwarder,9.4.9,9004009000,9.4.13,9004013000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.12,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
forwarder:9.4.10,forwarder,Splunk Universal Forwarder,9.4.10,9004010000,9.4.13,9004013000,SVD-2026-0706,Multiple (5),Medium,SVD-2026-0706 | Splunk Vulnerability Disclosure,9.4.0 to 9.4.12,2026-07-15,2026-08-14,https://advisory.splunk.com/advisories/SVD-2026-0706
